Order Number,order_create_date,shipping_date,delivery_date,g_user_id,times_ordered,dateAndTime,Ship State,Ship Country,OrderSubtotal,OrderTax,OrderShippingCosts,OrderTotal,ShippingMethod,PHEShippingRush,initial,orderSC,returning1,returning2
6202364397,6/20/2023,6/21/2023,7/6/2023,{0001F3DD-A740-4E5C-878E-03E634914FFE},2,2023-06-27 11:13:00 PT,CA,US,40.49,3.69,0,44.18,Standard,0,WEBGEN1,TRISH,,
6202364397,6/20/2023,6/21/2023,7/6/2023,{0001F3DD-A740-4E5C-878E-03E634914FFE},2,2023-06-27 11:13:00 PT,CA,US,9.98,0.91,0,10.89,Standard,0,SEMGLBRA,TRISH,OPTIN45R,WEBGEN1
6042361161,6/4/2023,6/4/2023,6/9/2023,{00025C42-FE3E-4816-9905-ED528221E753},1,2023-06-07 18:01:00 CT,TX,US,24.67,3.27,12.99,44.17,Standard Test,0.99,BCZSX344,BCZSX344,,
7022360253,7/2/2023,7/11/2023,7/19/2023,{0002F5ED-B219-467B-B23E-903F4C6CD65E},1,2023-07-18 12:04:00 ET,MA,US,21.5,1.97,8.99,33.45,Standard,0.99,ZOPTE50A,ZOPTE50A,,
7242362735,7/24/2023,7/24/2023,8/2/2023,{000322A8-B0B9-41E7-8B99-43BCA7FABFED},1,2023-08-01 12:03:00 CT,TX,US,18.39,2.45,8.99,33.07,Standard,0.99,SEMGLANA,SEMGLANA,,
6252390153,6/25/2023,6/26/2023,7/3/2023,{00034A65-AF8E-48C7-844E-6DDD195540F8},1,2023-06-29 11:18:00 ET,NY,US,73.48,7.32,8.99,89.79,Standard,0,SEMGLBRA,SEMGLBRA,SEMGLBRA,
7072362412,7/7/2023,7/7/2023,7/17/2023,{0003B3AB-208B-496E-8053-B6B26A638B8B},1,2023-07-12 09:24:00 ET,GA,US,43.72,4.48,8.99,60.43,Standard,0.99,SEMGLSEX,PAZGF349,Z22ABB3T,PAZGF349
6262364738,6/26/2023,6/27/2023,7/5/2023,{00040161-C21E-419A-B234-BAC078A718C3},1,2023-06-30 14:48:00 ET,NJ,US,228.92,15.76,8.99,253.67,Standard,0,WEBGEN1,WEBGEN1,WEBGEN1,
6262364738,6/26/2023,6/27/2023,7/5/2023,{00040161-C21E-419A-B234-BAC078A718C3},1,2023-06-30 14:48:00 ET,NJ,US,89.95,6.55,8.99,105.49,Standard,0,WEBGEN1,WEBGEN1,,
6052366558,6/5/2023,6/14/2023,6/23/2023,{00049504-EC97-475E-B7C3-CD3F8F406BED},1,2023-06-20 16:23:00 CT,TX,US,25.97,3.06,8.99,41.26,Standard,0.99,SEMGLBRA,SEMGLBRA,,
6102366944,6/10/2023,6/11/2023,6/16/2023,{0004CB7C-F9BC-4EF1-8074-22F18BDF0A39},1,2023-06-16 14:22:00 ET,FL,US,81.47,6.09,8.99,99.79,Standard,0.99,WEBGEN1,WEBGEN1,,
7112366177,7/11/2023,7/12/2023,7/24/2023,{0004D7FF-DAA7-42CE-8C62-87E441B9600A},2,2023-07-19 11:11:00 PT,CA,US,42.5,3.99,8.99,55.48,Standard,0,WEBGEN1,WEBGEN1,,
