Order Number,Ship State,Ship Country,order_create_date,shipping_date,delivery_date,g_user_id,dateAndTime,times_ordered
7132366109,FL,US,7/13/2023,7/14/2023,7/21/2023,{01D6D978-2556-46CC-B52B-01EF1C91CCA0},2023-07-18 11:39:00 ET,1
6292366305,CA,US,6/29/2023,6/30/2023,7/17/2023,{01D6D593-68BB-4D0A-A015-916A64FDD28D},2023-07-07 11:29:00 PT,1
6162365498,OH,US,6/16/2023,6/19/2023,6/27/2023,{01D6CCE4-2E8C-4A44-9BF3-CE8C5DA17A73},2023-06-22 10:29:00 ET,1
7072364850,WA,US,7/7/2023,7/9/2023,7/18/2023,{01D6B8B0-17D9-4B13-82C9-E882A2EA19BF},2023-07-17 09:47:00 PT,1
7142368106,VA,US,7/14/2023,7/16/2023,7/25/2023,{01D6A7C5-485C-4FA2-8E75-FB946E2E738E},2023-07-19 10:31:00 ET,1
6172362736,KY,US,6/17/2023,6/19/2023,6/27/2023,{01D69421-C059-4B30-A370-1C0C8F8555BA},2023-06-22 12:33:00 ET,1
6102365068,TN,US,6/10/2023,6/12/2023,6/21/2023,{01D68DF4-6653-4289-A0A9-2D23AA06E676},2023-06-16 12:08:00 CT,1
7112362926,WY,US,7/11/2023,7/12/2023,7/25/2023,{01D606F9-F335-4625-87BF-2845231757AB},2023-07-20 12:08:00 MT,1
6272365550,TX,US,6/27/2023,6/28/2023,7/11/2023,{01D5E115-191E-4A91-B103-968B28C1D1FC},2023-07-06 12:25:00 CT,1
7222360546,CA,US,7/22/2023,7/23/2023,8/2/2023,{01D593FE-120A-4B3E-8AE2-0447EA8E4E23},2023-07-31 16:11:00 PT,1
7102366510,WI,US,7/10/2023,7/11/2023,7/20/2023,{01D592A5-8345-466D-A731-7F0F4A33E508},2023-07-14 12:13:00 CT,1
6182368362,MD,US,6/18/2023,6/19/2023,6/26/2023,{01D58B59-A70D-4BA0-AA03-AE28D559D91B},2023-06-22 11:56:00 ET,1
6242368096,MO,US,6/24/2023,6/26/2023,7/11/2023,{01D5828D-575D-4CC9-B42E-8E90F82C9644},2023-06-30 10:29:00 CT,1
6062364796,AL,US,6/6/2023,6/7/2023,6/15/2023,{01D572FD-A4C0-4D74-AF17-694C781F3DE3},2023-06-12 17:48:00 CT,1
7012352526,MO,US,7/1/2023,7/3/2023,7/6/2023,{01D55ECD-5D6A-45FE-86D6-9045A5C6299C},7/6/2023 15:12,1
7012352526,MO,US,7/1/2023,7/3/2023,7/6/2023,{01D55ECD-5D6A-45FE-86D6-9045A5C6299C},7/6/2023 15:11,1
6152360454,MO,US,6/15/2023,6/15/2023,6/28/2023,{01D55ECD-5D6A-45FE-86D6-9045A5C6299C},2023-07-03 15:06:00 CT,1
7232363263,NH,US,7/23/2023,7/24/2023,7/28/2023,{01D51D62-E7F0-4A88-A231-9928C357CB6F},2023-07-27 13:12:00 ET,1
6162364287,IL,US,6/16/2023,6/19/2023,6/28/2023,{01D4D0A6-8E3C-48AB-8003-2FB32A16FFDD},2023-06-23 11:40:00 CT,1
6272362665,IA,US,6/27/2023,6/27/2023,7/11/2023,{01D4B72C-7143-4AB4-887C-CD5B625AB37A},2023-07-05 15:50:00 CT,1
6272367399,OH,US,6/27/2023,6/28/2023,7/6/2023,{01D44102-223D-4661-A43C-54BA2E816FC9},2023-07-01 15:42:00 ET,1
6242362227,KS,US,6/24/2023,6/25/2023,7/7/2023,{01D3FA22-3614-43B1-B429-3CBFCA4D6FB8},2023-07-01 15:09:00 CT,1
7092369252,MD,US,7/9/2023,7/10/2023,7/17/2023,{01D3DC78-02B6-440E-A37E-90122D994D80},2023-07-13 14:32:00 ET,1
7122368099,TX,US,7/12/2023,7/13/2023,7/25/2023,{01D3C2B2-8FAD-4346-BE79-8724B02AA5C3},2023-07-20 13:24:00 CT,1
7172367351,NM,US,7/17/2023,7/19/2023,7/31/2023,{01D31C14-7432-40B6-A46E-360B6CDA1CAB},2023-07-25 11:20:00 MT,1
6052363145,NY,US,6/5/2023,6/5/2023,6/9/2023,{01D30998-6734-48B7-9014-D04E2D9F1194},2023-06-08 13:13:00 ET,1
6042363048,IA,US,6/4/2023,6/5/2023,6/14/2023,{01D2F5B6-542B-4617-9BFF-289A47D43533},2023-06-09 09:52:00 CT,1
6222366888,TN,US,6/22/2023,6/23/2023,6/29/2023,{01D2B541-5B5B-4BC5-B3D0-31D8A5F135C9},2023-06-27 12:56:00 ET,1
6182369603,MN,US,6/18/2023,6/19/2023,6/29/2023,{01D2AA85-9BFF-4AE7-8FB7-2CB68D7CD94B},2023-06-23 09:26:00 CT,1
7132361181,CA,US,7/13/2023,7/13/2023,7/26/2023,{01D2516A-F38B-4366-8C32-11F1D092F922},2023-07-20 10:31:00 PT,1
6042365999,GA,US,6/4/2023,6/5/2023,6/13/2023,{01D21330-1F5A-4980-9EAF-9241B70AF739},2023-06-09 12:25:00 ET,1
5092365887,AL,US,5/9/2023,6/4/2023,6/12/2023,{01D174EB-E606-420F-AF23-35C0CBF27201},2023-06-07 11:44:00 CT,1
7062364771,UT,US,7/6/2023,7/7/2023,7/18/2023,{01D15600-5BB0-40D0-AC48-604A4AE52D88},2023-07-14 16:16:00 MT,1
7092364248,CA,US,7/9/2023,7/10/2023,7/21/2023,{01D120F5-9222-4919-955F-67D9907B2586},2023-07-17 12:06:00 PT,1
7182362902,OR,US,7/18/2023,7/24/2023,8/3/2023,{01D0E3F3-E636-4197-9657-020592E28841},2023-07-31 16:09:00 PT,1
7132365532,IN,US,7/13/2023,7/14/2023,7/20/2023,{01D0BA62-2199-44B7-BFA7-55A9236B94F0},2023-07-18 14:31:00 ET,1
6232366610,CA,US,6/23/2023,6/25/2023,7/10/2023,{01D04BF7-4ACC-4FD6-81D1-64A23D190405},2023-07-03 11:36:00 PT,1
6262365869,TX,US,6/26/2023,6/27/2023,7/3/2023,{01D03289-B060-4338-8199-CA65DE1AFF21},2023-06-30 11:33:00 CT,1
6132362733,MD,US,6/13/2023,6/14/2023,6/21/2023,{01CFF59B-F5E6-43BD-B050-7D2F4B272CB4},2023-06-17 12:29:00 ET,2
6122362713,MD,US,6/12/2023,6/12/2023,6/19/2023,{01CFF59B-F5E6-43BD-B050-7D2F4B272CB4},2023-06-15 13:19:00 ET,2
6022367588,FL,US,6/2/2023,6/4/2023,6/9/2023,{01CF96B3-2F69-459A-8EDA-85F596EB1EC4},2023-06-08 15:33:00 ET,1
6302361190,MO,US,6/30/2023,6/30/2023,7/17/2023,{01CEDC24-9AA9-496C-9DEB-C5EDBA44F4A0},2023-07-06 12:48:00 CT,1
6082364596,FL,US,6/8/2023,6/9/2023,6/16/2023,{01CEDBB7-C5F2-40D4-9670-CA268F390D68},2023-06-13 14:01:00 ET,1
7152363870,MO,US,7/15/2023,7/16/2023,7/20/2023,{01CE4C15-2578-4852-A184-55C04729D10C},2023-07-19 13:11:00 CT,1
7032366519,IL,US,7/3/2023,7/6/2023,7/19/2023,{01CE0F1C-45A1-4C56-8914-DDBE08DB2329},2023-07-11 11:51:00 CT,1
7082361314,CA,US,7/8/2023,7/9/2023,7/19/2023,{01CD94B1-E71F-462E-A93B-3862AB45B297},2023-07-15 14:52:00 PT,1
6192365878,VA,US,6/19/2023,6/20/2023,6/27/2023,{01CD6B03-4872-43D6-8A3A-E6648DFE1CE0},2023-06-23 12:07:00 ET,1
